ISBN,title,authorSecondName,authorFirstName,pages,YearPublish
9755436,Poezd na Yumu,Karpov,Nikolai,1093,1814
6678925,Plamya i led,Volkov,Konstantin,1561,1814
6197744,Kapitanskaya dochka,Chernov,Andrei,1670,1814
1155331,Khroniki budushchego,Chernov,Ivan,1944,1815
5049846,Gore ot uma,Yakovlev,Viktor,369,1815
7418733,Doroga v nikuda,Fedorov,Ivan,626,1815
8347571,Zhemchuzhnoe ozero,Lebedev,Roman,1216,1815
6566076,Prestuplenie i nakazanie,Chernov,Artem,1987,1816
1535629,Zvezdnyy pilot,Orlov,Stanislav,1606,1817
8353744,Doroga v nikuda,Orlov,Andrei,1330,1817
2204402,Tayna glubiny,Lebedev,Boris,619,1817
1775470,Rasskazy o prirode,Novikov,Oleg,1196,1817
2563211,Proshchay oruzhiye,Volkov,Artem,1731,1817
5856161,Put do zvyozd,Kuznetsov,Maxim,1698,1817
2973620,Na dnye,Kalinin,Yaroslav,167,1818
5057110,Mir v teni,Yakovlev,Ivan,1957,1819
9673723,Na dnye,Lebedev,Gennady,1766,1819
7772387,Deti kapitana Granta,Volkov,Artem,1628,1819
5062652,Kapitanskaya dochka,Morozov,Gennady,817,1819
2414407,Besy,Zaitsev,Konstantin,1736,1819
7015602,Doroga v nikuda,Egorov,Boris,1614,1819
2703240,Zvyozdnyy rubikon,Chernov,Gennady,1907,1819
4310976,Noch svobody,Makarov,Vladislav,154,1819
8293391,Posledniy geroy,Kalinin,Nikolai,1090,1820
5248746,Iskusstvo voiny,Morozov,Ivan,1142,1820
3996753,Iskusstvo voiny,Chernov,Yaroslav,1718,1820
4344065,Poslednyaya zvezda,Smirnov,Konstantin,435,1820
7868601,Poezd na Yumu,Fedorov,Roman,1040,1820
8342267,Den strashnogo suda,Lebedev,Ivan,258,1820
2893510,Pyat zvyozd,Kuznetsov,Oleg,327,1821
2428014,Gore ot uma,Pavlov,Sergei,1569,1821
2065146,Den strashnogo suda,Lebedev,Ivan,834,1821
5351401,Proshchay oruzhiye,Morozov,Oleg,1883,1821
2401293,Svet vo t'me,Sidorov,Dmitri,1509,1822
1242172,Piknyk na obochine,Morozov,Andrei,362,1822
9524991,Deti kapitana Granta,Chernov,Maxim,735,1823
6075596,Podvodnaya odisseya,Ivanov,Andrei,1057,1823
4047765,Tayna tretey planety,Chernov,Leonid,920,1823
4495339,Legendy severa,Pavlov,Sergei,214,1823
1834157,Tolstoy: Zhizn i vremya,Kalinin,Maxim,75,1823
2460541,Na krae zemli,Volkov,Dmitri,1692,1824
1008430,Tolstoy: Zhizn i vremya,Volkov,Viktor,1384,1824
6380204,Iskry budushchego,Orlov,Gennady,1967,1824
6313789,Prestuplenie i nakazanie,Popov,Alexei,274,1824
4498038,Iskusstvo voiny,Sidorov,Artem,1775,1824
3795795,Proshchay oruzhiye,Volkov,Alexei,242,1824
4216281,Iskry budushchego,Smirnov,Mikhail,932,1825
7088067,Put do zvyozd,Chernov,Nikolai,975,1825
1678051,Khroniki budushchego,Volkov,Pavel,1742,1825
6414711,Iskry budushchego,Popov,Ivan,188,1825
9569463,Posledniy geroy,Sidorov,Stanislav,1985,1826
4623664,Legendy severa,Ivanov,Artem,1479,1826
4706672,Poezd na Yumu,Pavlov,Vladislav,1457,1826
3727206,Pyat zvyozd,Sidorov,Viktor,1371,1826
9973487,Piknyk na obochine,Smirnov,Sergei,835,1826
8314649,Belaya gvardiya,Chernov,Yaroslav,1380,1827
6229840,,Novikov,Boris,1398,1827
7974765,Severny veter,Ivanov,Oleg,350,1827
3997545,Zov predkov,Lebedev,Alexei,1302,1827
1661240,Kogda goryat mosty,Volkov,Viktor,373,1828
7230704,Na krae zemli,Zaitsev,Leonid,661,1828
9644088,Doroga v nikuda,Volkov,Sergei,1504,1828
7001665,Pod znakom Vody,Kuznetsov,Pavel,1647,1828
6919596,Mir v teni,Lebedev,Sergei,640,1828
5605075,Zov predkov,Orlov,Gennady,534,1828
6603459,Zvyozdnyy rubikon,Orlov,Gennady,1501,1828
6166583,Dostoevsky: Sudba i tvorchestvo,Sidorov,Artem,1539,1829
6730408,Tayna Karpat,Popov,Andrei,1578,1829
7411086,Besy,Popov,Andrei,1127,1829
3601426,Iskusstvo voiny,Chernov,Artem,1311,1829
9109699,Tayna glubiny,Pavlov,Yaroslav,319,1829
1711849,Podvodnaya odisseya,Petrov,Gennady,206,1829
9698075,Noch svobody,Fedorov,Boris,1311,1830
9546209,Dostoevsky: Sudba i tvorchestvo,Petrov,Oleg,1936,1830
3899783,Tayna glubiny,Novikov,Konstantin,401,1831
7230621,Besy,Smirnov,Oleg,173,1831
5392768,Ocherednoy pervy klas,Kalinin,Mikhail,627,1831
2298135,Legendy severa,Ivanov,Alexei,628,1831
1966868,Anna Karenina,Makarov,Nikolai,1462,1832
7763348,Tikhiy Don,Ivanov,Stanislav,871,1832
1481534,Severny veter,Smirnov,Maxim,981,1832
6218725,Poslednyaya zvezda,Smirnov,Maxim,1812,1832
7149185,Rasskazy o prirode,Volkov,Alexei,1912,1832
7223275,Zvezdnyy pilot,Fedorov,Andrei,1937,1833
4876207,Tayna Karpat,Makarov,Dmitri,1815,1833
9646295,Iskry budushchego,Morozov,Stanislav,1075,1833
5124523,Zvyozdnyy rubikon,Petrov,Yaroslav,1977,1833
5985778,Gore ot uma,Petrov,Ivan,245,1834
5302402,Vokzal mechty,Popov,Viktor,811,1834
7772849,Metamorfozy,Zaitsev,Vladislav,1957,1834
2282581,Besy,Egorov,Stanislav,1074,1834
8368201,Gravitatsiya,Kalinin,Yaroslav,795,1834
9878747,Tikhiy Don,Karpov,Oleg,161,1835
9208404,Pod znakom Vody,Kuznetsov,Boris,1470,1835
2394091,Na beregu vechnosti,Smirnov,Konstantin,713,1836
5413757,Piknyk na obochine,Makarov,Vladislav,359,1836
1269761,Tayna Karpat,Zaitsev,Yaroslav,275,1836
6621406,Proshchay oruzhiye,Smirnov,Artem,770,1836
4545316,Gore ot uma,Sidorov,Roman,140,1836
8391430,Tayna Karpat,Kalinin,Roman,854,1836
9766032,Zhemchuzhnoe ozero,Egorov,Leonid,284,1837
1771403,Master i Margarita,Makarov,Konstantin,1402,1837
7711309,Labirinty razuma,Ivanov,Sergei,381,1837
5282746,Poezd na Yumu,Kalinin,Vladislav,1961,1837
7480761,Vokzal mechty,Morozov,Maxim,778,1837
8579907,Na beregu vechnosti,Kuznetsov,Konstantin,1920,1837
1500917,Rasskazy o prirode,Chernov,Andrei,1786,1838
4085589,Iskry budushchego,Pavlov,Boris,1499,1838
1723876,Vokzal mechty,Zaitsev,Konstantin,1720,1838
3970852,Vokzal mechty,Orlov,Dmitri,1367,1838
9030131,Anna Karenina,Kalinin,Andrei,701,1839
9349640,Serebryanoye ozero,Popov,Gennady,1254,1839
9889482,Posledniy geroy,Pavlov,Stanislav,1759,1840
5182984,Tikhiy Don,Lebedev,Alexei,471,1840
8636308,Dostoevsky: Sudba i tvorchestvo,Pavlov,Leonid,711,1840
8389207,Pod znakom Vody,Chernov,Ivan,845,1840
4093587,Severny veter,Sidorov,Yaroslav,67,1840
9490716,Anna Karenina,Kalinin,Yaroslav,472,1840
9040903,Anna Karenina,Orlov,Maxim,1116,1841
6527408,Poslednyaya zvezda,Popov,Vladislav,891,1841
1752340,Na krae zemli,Makarov,Roman,1604,1841
5390334,Proshchay oruzhiye,Makarov,Yaroslav,760,1841
5008603,Tolstoy: Zhizn i vremya,Volkov,Mikhail,50,1842
8546096,Domovoy,Volkov,Oleg,1430,1842
5973053,Vokzal mechty,Sidorov,Oleg,121,1842
1089520,Zateryanny mir,Chernov,Viktor,1874,1842
1017271,Metamorfozy,Morozov,Mikhail,1036,1842
9176507,Plamya i led,Lebedev,Gennady,1370,1842
1806501,Belaya gvardiya,Ivanov,Artem,469,1842
7381055,Serebryanoye ozero,Kuznetsov,Ivan,1956,1844
1834925,Tayna tretey planety,Sidorov,Alexei,1095,1844
2601391,Zemlya lyudey,Volkov,Sergei,806,1844
9024438,Posledniy geroy,Chernov,Maxim,164,1844
1299279,Na dnye,Smirnov,Gennady,1460,1844
9382240,Zhemchuzhnoe ozero,Lebedev,Stanislav,1817,1844
1517917,Na dnye,Morozov,Leonid,349,1844
8360586,Den strashnogo suda,Makarov,Mikhail,257,1845
3740287,Put do zvyozd,Orlov,Andrei,286,1845
9418831,Severny veter,Novikov,Artem,707,1845
6625205,Domovoy,Chernov,Pavel,832,1845
9755902,Posledniy chelovek,Orlov,Nikolai,1304,1845
3811048,Tikhiy Don,Novikov,Roman,570,1846
8879992,Anna Karenina,Zaitsev,Andrei,140,1846
6662770,Posledniy chelovek,Makarov,Roman,1245,1846
4370588,Doroga v nikuda,Ivanov,Nikolai,1914,1847
3576447,Ocherednoy pervy klas,Novikov,Vladislav,1560,1847
8613800,Mir v teni,Ivanov,Roman,1258,1847
8093907,Rasskazy o prirode,Kuznetsov,Oleg,1900,1847
2155939,Legendy severa,Petrov,Pavel,1188,1847
6156036,Na beregu vechnosti,Volkov,Alexei,690,1847
5295032,Vybor cheloveka,Chernov,Stanislav,350,1848
2930560,Svet vo t'me,Chernov,Ivan,1643,1848
6142886,Iskry budushchego,Zaitsev,Roman,1808,1848
9021767,Zov predkov,Smirnov,Sergei,593,1848
3489733,Tayna Karpat,Egorov,Sergei,444,1848
8417059,Na beregu vechnosti,Fedorov,Boris,688,1848
1526851,Iskry budushchego,Lebedev,Yaroslav,306,1848
2644496,Na krae zemli,Fedorov,Sergei,986,1849
7689960,Tolko ty,Lebedev,Artem,1126,1849
8761016,Zov predkov,Karpov,Maxim,1962,1849
3652982,Vremennaya petlya,Yakovlev,Viktor,1894,1849
3274238,Besy,Makarov,Yaroslav,1352,1850
3851402,Tolko ty,Volkov,Roman,1766,1850
5587522,Plamya i led,Egorov,Artem,1798,1850
1531045,Legendy severa,Popov,Oleg,756,1850
9140512,Kogda goryat mosty,Egorov,Leonid,650,1851
1847206,Kogda goryat mosty,Fedorov,Maxim,951,1851
6872975,Vremennaya petlya,Fedorov,Boris,1424,1851
8350624,Posledniy chelovek,Novikov,Gennady,611,1851
8715986,Svet vo t'me,Kalinin,Roman,1135,1851
9578058,Plamya i led,Volkov,Yaroslav,976,1851
5944417,Serebryanoye ozero,Karpov,Andrei,265,1852
1078959,Tolstoy: Zhizn i vremya,Sidorov,Dmitri,161,1852
2041274,Plamya i led,Yakovlev,Nikolai,432,1852
2783958,Na beregu vechnosti,Zaitsev,Yaroslav,782,1852
9293786,Na dnye,Popov,Maxim,1641,1852
5414626,Posledniy chelovek,Orlov,Ivan,728,1852
7858958,Ocherednoy pervy klas,Sidorov,Stanislav,406,1853
3011439,Gore ot uma,Fedorov,Dmitri,1768,1853
4819033,Iskusstvo voiny,Sidorov,Stanislav,996,1854
4643585,Noch svobody,Kuznetsov,Yaroslav,547,1854
4456014,Zvyozdnyy rubikon,Morozov,Viktor,1696,1854
3727979,Mgnoveniya vechnosti,Chernov,Boris,245,1854
5785076,,Ivanov,Andrei,231,1855
5870557,Vybor cheloveka,Smirnov,Maxim,534,1855
1053839,Kapitanskaya dochka,Novikov,Gennady,432,1856
1896228,Pyat zvyozd,Smirnov,Viktor,1104,1856
9108021,Tolstoy: Zhizn i vremya,Kuznetsov,Konstantin,448,1856
1995996,Deti kapitana Granta,Ivanov,Konstantin,960,1857
2362279,Posledniy chelovek,Kalinin,Gennady,1754,1857
2928033,Posledniy geroy,Morozov,Artem,1566,1857
8374753,Podvodnaya odisseya,Makarov,Leonid,103,1857
9220625,Master i Margarita,Karpov,Dmitri,1786,1858
9206670,Mir v teni,Ivanov,Gennady,816,1858
4667299,Podvodnaya odisseya,Lebedev,Viktor,1444,1858
5999466,Tayna tretey planety,Morozov,Maxim,638,1858
6054880,Den strashnogo suda,Sidorov,Artem,1201,1858
6990855,Vremennaya petlya,Karpov,Oleg,1111,1858
8550570,Anna Karenina,Yakovlev,Mikhail,301,1858
1846416,Iskusstvo voiny,Chernov,Pavel,1049,1859
2560031,Vremya pervykh,Volkov,Boris,852,1859
1232289,Legendy severa,Kuznetsov,Roman,104,1860
7701033,Anna Karenina,Karpov,Ivan,58,1860
8420771,Tayna tretey planety,Morozov,Konstantin,1511,1860
9571868,Poezd na Yumu,Makarov,Stanislav,1271,1860
3213667,Zvezdnyy pilot,Chernov,Konstantin,64,1860
4373511,Tolstoy: Zhizn i vremya,Kuznetsov,Mikhail,760,1860
7396945,Legendy severa,Kuznetsov,Andrei,1607,1860
2404749,Serebryanoye ozero,Zaitsev,Alexei,411,1860
6895722,Vremennaya petlya,Petrov,Oleg,1614,1861
3141026,Proshchay oruzhiye,Volkov,Boris,1148,1861
3588404,Na beregu vechnosti,Zaitsev,Andrei,1072,1861
9603445,Put do zvyozd,Sidorov,Gennady,1364,1861
1120441,Tikhiy Don,Makarov,Roman,1773,1861
1902407,Tayna Karpat,Yakovlev,Oleg,841,1861
2077948,Den strashnogo suda,Volkov,Oleg,1801,1861
6136444,Belaya gvardiya,Chernov,Yaroslav,88,1861
5892626,Iskry budushchego,Popov,Oleg,570,1861
9240411,Tikhiy Don,Orlov,Pavel,239,1862
9840442,Tayna tretey planety,Orlov,Roman,1352,1862
4980639,Podvodnaya odisseya,Morozov,Oleg,1813,1862
9270274,Vremennaya petlya,Makarov,Andrei,1979,1862
9203575,Noch svobody,Yakovlev,Dmitri,1200,1862
5872600,Master i Margarita,Fedorov,Sergei,1383,1863
4366025,Vokzal mechty,Chernov,Maxim,669,1863
4263646,Proshchay oruzhiye,Orlov,Sergei,214,1863
8820572,Pod znakom Vody,Lebedev,Viktor,219,1863
5633980,Tikhiy Don,Ivanov,Nikolai,1604,1863
1444007,Besy,Kuznetsov,Roman,1200,1863
4008315,Mir v teni,Chernov,Yaroslav,640,1863
9910693,Put do zvyozd,Chernov,Roman,1124,1864
3276573,Domovoy,Pavlov,Nikolai,880,1864
7792379,Iskry budushchego,Orlov,Vladislav,875,1864
7086307,Labirinty razuma,Zaitsev,Dmitri,159,1864
9044105,Tikhiy Don,Sidorov,Yaroslav,1800,1864
8880307,Tikhiy Don,Orlov,Mikhail,1751,1865
7595250,Zhemchuzhnoe ozero,Ivanov,Maxim,1184,1865
3557092,Master i Margarita,Egorov,Vladislav,1542,1865
5874410,Legendy severa,Egorov,Alexei,1896,1865
1344223,Svet vo t'me,Zaitsev,Sergei,1687,1865
3378276,Domovoy,Ivanov,Gennady,1593,1865
4542596,Piknyk na obochine,Popov,Sergei,1103,1866
9895603,Metamorfozy,Morozov,Stanislav,1450,1866
4761831,Dostoevsky: Sudba i tvorchestvo,Egorov,Sergei,817,1866
1576278,Poslednyaya zvezda,Petrov,Yaroslav,54,1866
7431536,Tayna glubiny,Kalinin,Alexei,220,1867
1949805,Na dnye,Ivanov,Dmitri,1977,1867
4423731,Belaya gvardiya,Karpov,Yaroslav,510,1867
1865152,Khroniki budushchego,Volkov,Oleg,130,1867
9692948,Na krae zemli,Egorov,Mikhail,137,1867
9210197,Gravitatsiya,Kuznetsov,Oleg,298,1867
1857170,Pod znakom Vody,Ivanov,Ivan,1819,1867
7202493,Iskusstvo voiny,Pavlov,Nikolai,1106,1868
9163811,Zvezdnyy pilot,Lebedev,Konstantin,322,1868
7189806,Gravitatsiya,Popov,Viktor,546,1868
6717623,Zvyozdnyy rubikon,Novikov,Boris,1554,1868
2405322,Plamya i led,Volkov,Andrei,1954,1869
9508654,Tolstoy: Zhizn i vremya,Sidorov,Pavel,935,1869
1492763,Zemlya lyudey,Kalinin,Roman,351,1869
8904934,Tikhiy Don,Smirnov,Dmitri,1763,1869
8494358,Anna Karenina,Pavlov,Nikolai,203,1869
9504136,Labirinty razuma,Egorov,Boris,1881,1870
1643301,Domovoy,Karpov,Viktor,781,1870
6438938,Poslednyaya zvezda,Pavlov,Ivan,1516,1870
7619928,Gravitatsiya,Fedorov,Stanislav,1355,1870
8312487,Severny veter,Orlov,Artem,667,1870
9089674,Tolko ty,Kuznetsov,Andrei,1390,1871
1372833,Zvyozdnyy rubikon,Volkov,Gennady,60,1871
5003162,Na beregu vechnosti,Volkov,Viktor,1297,1871
3408549,Tayna Karpat,Morozov,Oleg,561,1871
9700469,Posledniy geroy,Volkov,Ivan,1635,1871
7325091,Iskusstvo voiny,Karpov,Boris,1786,1871
7531716,Poezd na Yumu,Volkov,Roman,81,1872
9191982,Put do zvyozd,Pavlov,Dmitri,789,1872
3990223,Zvyozdnyy rubikon,Makarov,Nikolai,1890,1872
3375943,Vokzal mechty,Karpov,Vladislav,1348,1872
7246875,Belaya gvardiya,Petrov,Viktor,322,1872
4010390,Zemlya lyudey,Petrov,Dmitri,380,1872
8606151,Zov predkov,Smirnov,Yaroslav,1810,1872
8047692,Belaya gvardiya,Sidorov,Stanislav,254,1872
7298045,Zhemchuzhnoe ozero,Volkov,Roman,936,1873
6076799,Iskry budushchego,Sidorov,Yaroslav,1226,1873
2074071,Podvodnaya odisseya,Karpov,Viktor,1637,1873
8361296,Metamorfozy,Morozov,Boris,1079,1873
8512475,Kapitanskaya dochka,Petrov,Viktor,542,1873
4497317,Besy,Petrov,Roman,1995,1873
3984594,,Popov,Pavel,1921,1873
9321811,Rasskazy o prirode,Fedorov,Dmitri,1362,1874
9961001,Dostoevsky: Sudba i tvorchestvo,Petrov,Stanislav,1091,1874
3953302,Kapitanskaya dochka,Smirnov,Ivan,1302,1875
9260299,Na beregu vechnosti,Fedorov,Nikolai,1869,1875
5872981,Mgnoveniya vechnosti,Smirnov,Mikhail,422,1875
6212099,Rasskazy o prirode,Kuznetsov,Stanislav,233,1875
6708073,Tikhiy Don,Petrov,Pavel,280,1875
8426301,Podvodnaya odisseya,Makarov,Gennady,1708,1875
4073435,Iskry budushchego,Orlov,Mikhail,1879,1875
4853312,Vremennaya petlya,Smirnov,Leonid,970,1875
7021550,Tayna Karpat,Pavlov,Yaroslav,1096,1876
7160612,Zemlya lyudey,Kuznetsov,Gennady,1349,1876
6353148,Vremennaya petlya,Yakovlev,Artem,1213,1877
3558559,Zemlya lyudey,Ivanov,Stanislav,1291,1877
9652269,Podvodnaya odisseya,Sidorov,Sergei,341,1877
7736986,Zhemchuzhnoe ozero,Zaitsev,Alexei,1901,1877
6696624,Besy,Karpov,Vladislav,280,1877
9986395,Na dnye,Kuznetsov,Leonid,1781,1877
7611226,Den strashnogo suda,Fedorov,Maxim,1857,1878
3096006,Iskry budushchego,Kuznetsov,Alexei,653,1878
3349708,Proshchay oruzhiye,Novikov,Gennady,1493,1878
4407718,Tayna glubiny,Lebedev,Ivan,856,1878
7431619,Vybor cheloveka,Popov,Boris,438,1878
1775446,Mir v teni,Petrov,Artem,815,1879
3232476,Posledniy geroy,Pavlov,Leonid,1249,1879
9117900,Besy,Fedorov,Mikhail,1791,1879
6013244,Doroga v nikuda,Kalinin,Ivan,1031,1879
4161900,Gravitatsiya,Karpov,Andrei,924,1880
1868079,Poslednyaya zvezda,Petrov,Oleg,1778,1880
9104849,Svet vo t'me,Ivanov,Leonid,1996,1881
5722774,Master i Margarita,Ivanov,Konstantin,1620,1881
8681215,Zemlya lyudey,Lebedev,Pavel,1871,1881
8119248,Rasskazy o prirode,Kuznetsov,Roman,846,1881
8982523,Iskusstvo voiny,Orlov,Boris,64,1881
3698323,Tikhiy Don,Pavlov,Alexei,296,1882
4426124,Metamorfozy,Ivanov,Gennady,1214,1882
3701568,Zvyozdnyy rubikon,Makarov,Konstantin,380,1882
8576500,Pyat zvyozd,Orlov,Ivan,1232,1882
8837905,Den strashnogo suda,Orlov,Oleg,866,1882
7560245,Poslednyaya zvezda,Sidorov,Pavel,349,1883
5657975,Tolko ty,Egorov,Sergei,400,1883
1205030,Mgnoveniya vechnosti,Egorov,Oleg,1685,1883
2651071,Dostoevsky: Sudba i tvorchestvo,Popov,Ivan,1728,1883
3097709,Zvezdnyy pilot,Pavlov,Artem,512,1883
8812418,Pyat zvyozd,Orlov,Oleg,996,1883
3707111,Vokzal mechty,Popov,Boris,1383,1883
3694524,Piknyk na obochine,Chernov,Roman,1194,1884
3890897,Put do zvyozd,Lebedev,Sergei,1748,1884
5264845,Polyarnaya zvezda,Smirnov,Oleg,1289,1884
3985145,Rasskazy o prirode,Orlov,Mikhail,1973,1884
9872767,Doroga v nikuda,Ivanov,Vladislav,332,1884
2006162,Svet vo t'me,Volkov,Artem,439,1884
3702349,Doroga v nikuda,Lebedev,Maxim,659,1885
5235713,Piknyk na obochine,Pavlov,Nikolai,102,1885
7885353,Iskusstvo voiny,Kalinin,Yaroslav,240,1885
2503056,Kogda goryat mosty,Zaitsev,Gennady,1628,1885
7367215,Vybor cheloveka,Lebedev,Alexei,528,1885
5785516,Legendy severa,Chernov,Andrei,509,1885
5873753,Kogda goryat mosty,Popov,Vladislav,552,1885
1611240,Dostoevsky: Sudba i tvorchestvo,Lebedev,Pavel,1849,1886
7713106,Podvodnaya odisseya,Morozov,Artem,235,1886
3124648,Zemlya lyudey,Egorov,Konstantin,542,1886
4335939,Tayna tretey planety,Egorov,Stanislav,882,1886
4961148,Tikhiy Don,Orlov,Artem,102,1886
9327862,Gore ot uma,Pavlov,Alexei,628,1887
4527173,Tayna tretey planety,Makarov,Mikhail,979,1887
1765716,Ocherednoy pervy klas,Karpov,Ivan,1835,1887
8001113,Gravitatsiya,Sidorov,Oleg,1932,1887
9793560,Svet vo t'me,Petrov,Viktor,643,1887
5842999,Zvezdnyy pilot,Novikov,Ivan,547,1888
1274355,Poezd na Yumu,Lebedev,Nikolai,1852,1888
7304169,Iskry budushchego,Chernov,Pavel,636,1888
9638706,Plamya i led,Fedorov,Roman,1295,1888
1013066,Posledniy geroy,Zaitsev,Alexei,795,1889
8309580,Rasskazy o prirode,Kuznetsov,Mikhail,1985,1889
2578596,Labirinty razuma,Sidorov,Alexei,428,1889
6175236,Kogda goryat mosty,Sidorov,Konstantin,975,1889
8362936,Zhemchuzhnoe ozero,Novikov,Viktor,771,1890
1565328,Labirinty razuma,Kalinin,Boris,1418,1890
8193842,Labirinty razuma,Chernov,Nikolai,290,1890
8454112,Tayna glubiny,Pavlov,Artem,1401,1890
4619737,Svet vo t'me,Lebedev,Pavel,710,1890
6625066,Dostoevsky: Sudba i tvorchestvo,Chernov,Artem,267,1890
6727754,Ocherednoy pervy klas,Popov,Leonid,802,1890
7133403,Iskry budushchego,Lebedev,Boris,1373,1890
2770867,Ocherednoy pervy klas,Yakovlev,Stanislav,444,1891
3141349,Posledniy geroy,Kalinin,Sergei,1935,1891
6138784,Plamya i led,Makarov,Maxim,959,1891
3841456,Domovoy,Petrov,Roman,1430,1891
9247021,Vokzal mechty,Fedorov,Nikolai,824,1892
7452747,Podvodnaya odisseya,Orlov,Alexei,52,1892
6064107,Dostoevsky: Sudba i tvorchestvo,Novikov,Andrei,1403,1892
5140595,Pyat zvyozd,Smirnov,Pavel,1433,1892
1766352,Piknyk na obochine,Egorov,Konstantin,404,1893
5448402,Doroga v nikuda,Yakovlev,Nikolai,1605,1893
7480171,Poezd na Yumu,Lebedev,Boris,621,1893
5746128,Pyat zvyozd,Zaitsev,Artem,1333,1893
6553390,Tayna Karpat,Lebedev,Mikhail,1314,1893
4726313,Khroniki budushchego,Popov,Gennady,1108,1893
7009364,Na krae zemli,Popov,Alexei,903,1893
5937579,Tayna tretey planety,Yakovlev,Maxim,1938,1893
7276741,Piknyk na obochine,Fedorov,Nikolai,959,1893
8170539,Polyarnaya zvezda,Fedorov,Mikhail,555,1893
2640515,Tayna tretey planety,Ivanov,Pavel,1865,1893
4183835,Iskry budushchego,Lebedev,Leonid,1966,1894
4307720,Den strashnogo suda,Yakovlev,Pavel,1364,1894
3816746,Na beregu vechnosti,Egorov,Dmitri,343,1894
6697570,Tayna Karpat,Yakovlev,Sergei,1589,1895
2055765,Belaya gvardiya,Sidorov,Yaroslav,1682,1895
1082518,Gore ot uma,Sidorov,Gennady,153,1895
3866996,Metamorfozy,Kuznetsov,Pavel,931,1895
7691550,Anna Karenina,Volkov,Andrei,666,1896
4967211,Dostoevsky: Sudba i tvorchestvo,Ivanov,Konstantin,268,1896
